Judul,Gambar,Sumber Gambar,Alat dan Bahan,Langkah,Jenis,Sumber Artikel,Artikel Serupa
Membuat kertas daur ulang,membuat_kertas_daur_ulang.jpg,-,"['Kertas bekas', 'Gunting', 'Air panas (kurang lebih 4 kali lipat dari jumlah kertas bekas)', 'Wadah besar (ember, baskom)', 'Blender', 'Kain', 'Screen sablon (bisa dibeli melalui online shop)', 'Alas rata (seperti papan tripleks)', 'Pewarna']","['Sobek kertas bekas, rendam dalam air panas selama 24 jam.', 'Masukkan kertas ke blender dengan air (rasio 1:3), campur hingga seperti bubur.', 'Siapkan ember, isi air ¼ atau ½, tambahkan bubur kertas.', '(Opsional) Tambahkan pewarna alami.', 'Gunakan screen sablon, letakkan bubur sesuai ukuran kertas.', 'Balik screen sablon di atas permukaan rata, gosok kasa/saringan hingga merata.', 'Pindahkan kertas ke papan, tutupi dengan kain dan beri pemberat.', 'Biarkan kering, jika bisa dijemur.', 'Angkat kain setelah kering. Kertasmu siap dipakai!']",kertas,https://www.gadis.co.id/Lifestyle/105425/diy-kertas-daur-ulang-hasilnya-aesthetic-dan-ramah-lingkungan!,"['Kerajinan dari Koran Jadi Kertas Daur Ulang', 'Membuat Dompet Dari Anyaman Kertas', 'Membuat Tempat Tisu dari Koran Bekas', 'Tempat Sampah dari kardus', 'Mangkok Dari Koran Bekas']"
Vas Bunga Dari Koran Bekas,vas_bunga_dari_koran_bekas.jpg,-,"['Kertas koran bekas secukupnya (Semakin besar ukuran vas bunga yang dibuat semakin banyak koran bekas yang di butuhkan).', 'Lem fox (bisa juga lem kertas lainnya)', 'Pernis', 'Tusuk sate atau sapu lidi Untuk membantu menggulung kertas.']","['Langkah pertama ambil beberapa kertas koran lalu dengan menggunakan tusuk sate gulung kertas koran tersebut', 'Ambil 7 lilitan kertas koran lalu susun ke semua arah', 'Secara selang seling anyam lilitan kertasnya', 'Bila luas dasar vas sudah cukup bengkokan lilitan kertas koran ke atas', 'Lanjutkan menganyam lilitan kertas sampai setinggi pot yang di inginkan.', 'Agar vas bunga tampak mengkilap anda bisa memberikan varnish pada seluruh permukaan pot. Penambahan vernis ini bukan hanya untuk mempercantik vas, tetapi juga membuat vas bunga menjadi lebih kuat dan tahan lama.', 'Pembuatan vas bunga dari koran bekas sudah selesai dan siap digunakan']",kertas,https://udsregep.com/cara-membuat-vas-bunga-dari-koran-bekas-cantik-dan-unik/,"['Bunga Dari Koran Bekas', 'Kalungan Bunga Dari Koran Bekas', 'Vas Bunga Sederhana Dari Koran Bekas', 'Vas Bunga Lukis', 'Kerajinan Bunga dari Kertas Koran']"
Jam Dinding dari Koran,jam_dinding_dari_koran.jpg,-,"['Koran bekas', 'Gunting', 'Lem tembak', 'Tali', 'Jarum jam', 'Mata jam']","['Siapkan koran bekas', 'Potong koran bekas menjadi potongan-potongan kecil dengan ukuran yang sama, yaitu sekitar 1 cm x 10 cm.', 'Gulung potongan koran secara memanjang hingga membentuk gulungan seperti sedotan.', 'Buat rangka jam', 'Buat 12 gulungan koran kecil untuk membentuk angka jam. Buat 1 gulungan koran besar untuk membentuk angka 12.', 'Gabungkan gulungan-gulungan koran dengan menggunakan lem tembak.', 'Pasang jarum jam dan mata jam pada rangka jam.']",kertas,https://moselo.com/blog/kerajinan-dari-koran/,"['Jam Dinding Koran Bekas', 'Tempat Pensil dari Koran', 'Kerajinan Bunga dari Kertas Koran', 'Kerajinan dari Koran Jadi Tempat Pensil', 'Lampion Koran']"
Membuat Dompet Dari Anyaman Kertas,membuat_dompet_dari_anyaman_kertas.jpg,-,"['Beberapa lembar kertas koran', 'Gunting', 'Cutter atau silet', 'Pensil', 'Penggaris', 'Lem Kertas']","['Langkah pertama membuat anyaman adalah dengan membuat pola pada kertas koran yang akan digunakan.', 'Buatlah garis-garis pada kertas koran dengan menggunakan pensil dan penggaris. Buat jarak antar garis dengan ukuran 1-1,5 cm. Untuk bagian tepi kertas sisakan jarak 2 cm agar potongan kertas tidak berantakan.', 'Selanjutnya setelah selesai membuat garis pada kertas, potonglah kertas mengikuti garis yang telah dibuat dengan menggunakan cutter atau silet. Potonglah garis-garis tersebut dengan cara mengikuti tepi penggaris sehingga potongan rapi.', 'Ambil kertas yang lainnya, lalu buat garis seperti pada kertas sebelumnya. Yang membedakan pada potongan kertas ini .dipotong tanpa meninggalkan sisa di bagian tepinya. Pemotongan dilakukan menggunakan gunting secara memanjang dengan lebar sekitar 1-1,5 cm.', 'Langkah selanjutnya mulailah menganyam dengan motif anyaman kertas yang dikehendaki. Untuk awal-awal menggunakan motif anyaman kertas yang sederhana, setelah terbiasa baru membuat motif anyaman yang lebih sulit.', 'Setelah selesai menganyam rapikan ujung-ujung kertas anyaman menggunakan gunting.', 'Berikan lem lalu rekatkan pada bagian tepi kertas. Hal ini dilakukan untuk mencegah anyaman agar tidak terlepas.', 'Selanjutnya adalah proses melipat lembaran anyaman membentuk dompet. Proses melipat lembaran anyaman dilakukan dengan menggunakan pola jaring-jaring balok. Untuk memudahkan proses melipat dapat dilakukan dengan membuat garis-garis pada anyaman membentuk jaring-jaring balok. Sisakan sekitar 2 cm pada tepi jaring-jaring untuk menyatukan bagian-bagian nantinya. Pada sisi yang akan dijadikan tutup ukuran ditambah agar ketika disatukan nantinya terdapat sisa yang berfungsi sebagai tutup dan nantinya akan berfungsi sebagai pengunci dompet.', 'Setelah garis selesai dibuat potonglah jaring-jaring balok, tidak semua sisi balok dipotong untuk memudahkan dalam membentuk dompet.', 'Satukan kembali jaring-jaring balok menggunakan lem, lakukan dengan rapi agar dompet yang terbentuk terlihat rapi.', 'Nah selesai sudah dompet yang dibuat.']",kertas,https://www.mikirbae.com/2016/05/membuat-dompet-dari-anyaman-kertas.html,"['Kerajinan dari Koran Jadi Kertas Daur Ulang', 'Membuat kertas daur ulang', 'Membuat Tempat Tisu dari Koran Bekas', 'Kerajinan dari Koran Jadi Tempat Pensil', 'Tempat Pensil dari Koran']"
Keranjang dari Kertas Koran Bekas,keranjang_dari_kertas_koran_bekas.jpg,-,"['Koran Bekas', 'Lem', 'Kawat', 'Vervis / Cat', 'Gunting', 'Cutter', 'Meteran', 'Tang', 'Palu', 'Alat pendukung lainnya']","['Proses pertama diawali dengan membagi atau memotong kertas koran dan menggulungnya sebanyak kebutuhan.', 'Satu lembar koran biasanya dibagi 6 hingga 8 bagian memanjang.', 'Setelah itu diplintir atau digulung kecil-kecil atau sesuai ukuran yang diinginkan.', 'Menggulungnya menggunakan kawat atau lainnya sesuai ukuran sehingga gulungan menjadi sama besarnya dan di bagian ujung akhir penggulungan dilem agar tidak terlepas.', 'Setelah itu dianyam seperti lazimnya menganyam kerajinan anyam lainnya dengan hitungan keluar masuk dan atas bawah sesuai motif yang diinginkan atau teknik seperti jahitan.', 'Rangkanya dipakai kawat steinless yang juga dilapisi koran.', 'Di tiap akhir anyaman, untuk menguatkan ikatan ujungnya hanya memakai teknik selip–menyelipkan tiap ujungnya pada anyaman teakhir tanpa harus diikat.', 'Di beri lapisan vernis atau dicat sesuai dengan warna yang diinginkan.', 'Terakhir, dapat ditambahkan aksesoris seperti bunga atau kupu-kupu dll, untuk mempercantik.']",kertas,https://membuat-kerajinantangan.blogspot.com/2013/11/cara-membuat-keranjang-dari-kertas.html,"['Figura Dari Koran Bekas', 'Mangkok Dari Koran Bekas', 'Membuat Mangkok dari Koran Bekas', 'Bunga Dari Koran Bekas', 'Membuat Tempat Tisu dari Koran Bekas']"
Membuat Mangkok dari Koran Bekas,membuat_mangkok_dari_koran_bekas.jpg,-,"['Koran bekas', 'Lem kayu/ lem kertas', 'Pensil panjang/sumpit']","['Buat gulungan dari kertas lalu lem pada bagian ujungnya menggunakan sumpit atau kayu biar lebih mudah', 'Buat gulungan sebanyak mungkin karena semakin banyak gulungan yang kita buat maka semakin besar pula mangkok yang bisa kita buat', 'Jika sudah memiliki banyak gulungan maka pipihkan gulungan tersebut', 'Tongkat yang sudah pipih di gulung dari ujung yang satu ke ujung yang lain', 'Bila gulungan sudah mencapai ujung, maka silahkan langsung rekatkan dengan ujung tongkat yang lainnya', 'Gulung terus kertas pipih tersebut hingga besar sesuai dengan keinginan', 'Jika sudah sesuai dengan keinginan maka rekatkan ujung kertas yang paling akhir', 'Dorong lingkaran hingga membentuk mangkok', 'Sebagai penutup kita bisa menambahkan lem cair pada permukaan mangkok agar lebih kuat', 'Nah itulah cara membuat mangkok dari koran atau majalah bekas']",kertas,https://kerajinaniat.blogspot.com/2018/09/cara-membuat-mangkok-dari-koran-bekas.html,"['Mangkok Dari Koran Bekas', 'Topi Dari Koran Bekas', 'Keranjang dari Kertas Koran Bekas', 'Bunga Dari Koran Bekas', 'Figura Dari Koran Bekas']"
Kerajinan dari Koran Jadi Kertas Daur Ulang,kerajinan_dari_koran_jadi_kertas_daur_ulang.jpg,Kerajinan Koran (pinterest.com),"['Koran Bekas', 'Sepasang gunting', 'Potongan jaring plastik', 'Pakaian (lebih disukai katun)', 'Permukaan tidak lengket', 'Mangkuk besar']","['Sobek kertas bekas menjadi potongan-potongan kecil dengan ukuran sekitar 1 x 1 inci.', 'Rendam kertas sobek dalam air selama sehari. Jika ingin proses yang lebih cepat, campurkan kertas yang direndam setelah 2 atau 3 jam perendaman.', 'Siapkan lembaran jaring plastik dan rendam dalam air selama beberapa menit.', 'Dengan hati-hati, tarik salah satu sisi jaring ke dalam air, secara bertahap dari atas ke bawah.', 'Perlahan ratakan jaring di bawah air dan Anda akan melihat kertas sobek berkumpul di bagian atas jaring. Biarkan kertas sobek berkumpul di bagian atas permukaan jaring secara merata.', 'Keluarkan jaring dari air tanpa mengubah posisi perataannya. Gunakan ujung jari Anda untuk menyelaraskan 4 sisi kertas daur ulang secara merata.', 'Pada permukaan datar letakkan bahan yang tidak lengket, seperti plastik atau kaca. Tempatkan sisi kertas daur ulang dari lembaran terjaring lurus pada permukaan antilengket. Gunakan selembar kain katun untuk merendam air sebanyak mungkin dari permukaan atas sprei yang dijaring.', 'Setelah merendam cukup air, keluarkan jaring dengan hati-hati. Kertas daur ulang harus tetap rata pada permukaan anti lengket pada langkah ini.', 'Biarkan kertas daur ulang mengering semalaman. Atau bisa juga meletakkannya di dekat tempat yang hangat dan kering untuk mengeringkannya dengan cepat.']",kertas,https://www.orami.co.id/magazine/kerajinan-dari-koran,"['Membuat kertas daur ulang', 'Kerajinan dari Koran Jadi Tempat Pensil', 'Membuat Dompet Dari Anyaman Kertas', 'Membuat Tempat Tisu dari Koran Bekas', 'Bunga Dari Koran Bekas']"
Kerajinan dari Koran Jadi Tempat Pensil,kerajinan_dari_koran_jadi_tempat_pensil.jpg,Kerajinan dari Koran (pinterest.com),"['Koran bekas secukupnya', 'Kaleng bekas atau botol bekas', 'Lem', 'Gunting', 'Pensil', 'Tali untuk menghias dan mempercantik']","['Siapkan kaleng bekas yang akan dijadikan dasar dari tempat pensil tersebut.', 'Potong koran sesuai dengan ukuran yang diperlukan.', 'Bentuk potongan koran tersebut menjadi bentuk bulat bulat dengan cara digulung menggunakan pensil.', 'Mulailah menempelkan koran yang sudah berbentuk bulat tersebut dengan kaleng menggunakan lem.', 'Setelah itu, tempelkan semua gulungan koran pada kaleng hingga menutupi semua bagian kelang. Gunting dan rapikan agar terlihat rapi.', 'Berikan tambahan tali paga bagian atas dan juga bawah agar terlihat menarik', 'Tempat pensil anda sudah siap digunakan.']",kertas,https://www.orami.co.id/magazine/kerajinan-dari-koran,"['Kerajinan dari Koran Jadi Kertas Daur Ulang', 'Kerajinan Bunga dari Kertas Koran', 'Bunga Dari Koran Bekas', 'Pita Dari Koran', 'Lampion Koran']"
Kerajinan Koran Bekas Jadi Tong Sampah,kerajinan_koran_bekas_jadi_tong_sampah.jpg,Kerajinan Koran (pinterest.com),"['Koran Bekas', 'Lem Tembak']","['Buat koran menjadi lintingan kecil sekitar 40-50 potongan.', 'Gunakan lidi dan lem untuk membuat lintingan.', 'Susun lintingan secara bersilangan, sekitar 8-10 lapis.', 'Buat dasar lingkaran keranjang dengan teknik menganyam.', 'Gunakan lintingan paling bawah untuk menyusun dasar.', 'Tegakkan lintingan ke atas untuk kerangka keranjang.', 'Buat anyaman untuk sisi keranjang ke atas.', 'Tambahkan lintingan dan lem untuk ketinggian keranjang.', 'Potong dan rapikan ujung lintingan yang menjadi rangka.', 'Selipkan lintingan ke bawah untuk menutup anyaman.', 'Tambahkan vernis kayu untuk tampilan cantik dan berkilau.']",kertas,https://www.orami.co.id/magazine/kerajinan-dari-koran,"['Kerajinan dari Koran Jadi Tempat Pensil', 'Kerajinan Mozaik dari Kulit Telur', 'Kerajinan Boneka dari Kulit Telur', 'Tempat Sampah dari kardus', 'Kerajinan dari Koran Jadi Kertas Daur Ulang']"
Jam Dinding Koran Bekas,jam_dinding_dari_koran.jpg,Kesekolah.com,"['Koran bekas', 'Gunting', 'Kepingan CD/DVD', 'Jarum', 'Benang', 'Mesin jam', 'Batu baterai.']","['Siapkan bahan dan peralatan yang dibutuhkan.', 'Kemudian lipat koran berbentuk gulungan. Anda bisa membuatnya menjadi dua gulungan dari satu lembar koran.', 'Setelah selesai membuat gulungan, Anda bisa melubangi gulungan koran dengan jarum, lalu masukkan benang.', 'Langkah selanjutnya adalah merangkai atau menyusun gulungan koran tersebut menggunakan benang sampai berbentuk lingkaran.', 'Kemudian, Anda dapat meletakkan kepingan CD di tengah-tengah lingkaran.', 'Setelah itu, berikan angka sesuai jam pada umumnya.', 'Pasang mesin jam dan jarum jamnya pada koran yang sudah dirangkai.', 'Pasang juga baterai jam, pastikan jam berjalan dengan normal.', 'Kerajinan tangan jam dari koran bekas sudah selesai dan siap digunakan.']",kertas,https://kumparan.com/berita-hari-ini/3-ide-kreatif-kerajinan-dari-koran-yang-mudah-dibuat-sebagai-hiasan-rumah-1wwqFhdLUqI/4,"['Jam Dinding dari Koran', 'Celengan Dari Koran Bekas', 'Kap Lampu Gantung Koran Bekas', 'Keranjang dari Kertas Koran Bekas', 'Figura Dari Koran Bekas']"
Kerajinan Bunga dari Kertas Koran,kerajinan_bunga_dari_kertas_koran.jpg,Pinterest.,"['Koran bekas', 'Gunting', 'Jarum dan benang sebagai tali untuk menggabungkan bunga dengan tangkainya', 'Kawat yang dijadikan sebagai dahan.']","['Gunting satu koran dari 4 halaman menjadi 2 halaman, kemudian dibagi lagi menjadi 4 bagian.', 'Tumpuk beberapa potongan koran yang sudah digunting sesuai keinginan.', 'Lipat tumpukan koran, kemudian rapikan masing-masing ujungnya dengan setengah lingkaran pada koran.', 'Lipatan tengah pada koran digabungkan dengan dahan atau kawat sebagai tangkai bunga, kemudian tali dengan benang yang disediakan.', 'Buka koran satu per satu dari bagaian atas terlebih dahulu. Pada langkah ini, Anda harus berhati-hati agar bunga yang telah dibentuk tidak robek.', 'Setelah itu, rapikan bunga agar terlihat asli.', 'Kerajinan bunga dari koran sudah siap digunakan untuk mengisi vas di ruang tamu Anda.']",kertas,https://kumparan.com/berita-hari-ini/3-ide-kreatif-kerajinan-dari-koran-yang-mudah-dibuat-sebagai-hiasan-rumah-1wwqFhdLUqI/4,"['Bunga Dari Koran Bekas', 'Vas Bunga Dari Koran Bekas', 'Vas Bunga Sederhana Dari Koran Bekas', 'Kerajinan dari Koran Jadi Tempat Pensil', 'Pita Dari Koran']"
Tempat Pensil dari Koran,tempat_pensil_dari_koran.jpg,Pinterest.,"['Koran Bekas', 'Lem', 'Gunting', 'Kaleng bekas', 'Pensil', 'Tali utuk menghias.']","['Siapkan kaleng, kemudian potong koran sesuai dengan dasar kaleng tersebut.', 'Potonglah beberapa lembar untuk dibuat gulungan.', 'Setelah selesai, tempelkan gulungan tersebut pada kaleng dengan lem.', 'Rapikan gulungan koran tersebut sesuai dengan kaleng.', 'Setelah selesai, beri hiasan tali pagar untuk menambah tampilan tempat pensil agar terlihat cantik.', 'Tempat pensil dari koran sudah bisa digunakan.']",kertas,https://kumparan.com/berita-hari-ini/3-ide-kreatif-kerajinan-dari-koran-yang-mudah-dibuat-sebagai-hiasan-rumah-1wwqFhdLUqI/5,"['Kotak Pensil', 'Kerajinan Bunga dari Kertas Koran', 'Pita Dari Koran', 'Bunga Dari Koran Bekas', 'Kerajinan dari Koran Jadi Tempat Pensil']"
Membuat Tempat Tisu dari Koran Bekas,membuat_tempat_tisu_dari_koran_bekas.jpg,jo szczepanska via unsplash.com,"['Kardus bekas sepatu atau yang sejenis', 'Koran bekas', 'Gunting', 'Cutter', 'Lem atau double tape', 'Tusuk sate atau lidi -/+ 30 cm']","['Siapkan koran 1 lembar, potong menjadi 8 bagian sama persegi panjang', 'Letakkan tusuk sate atau lidi pada ujung potongan kertas tadi, lalu taruh di alas rata seperti meja atau lantai', 'Gulung atau linting kertas seperti batang rokok sambil ditekan agar lipatan padat dan sama besar', 'Beri lem atau double tape pada ujung kertas penggulungan supaya kuat dan tidak berubah bentuk.', 'Setelah gulungan selesai, tarik tusuk sate atau lidi dari gulungan tersebut', 'Buatlah beberapa gulungan kertas sesuai dengan panjang dan lebar kardus yang akan dipakai', 'Lubangi kardus secara memanjang tepat di tengah untuk tempat keluar tisu ketika ditarik.', 'Lalu tandai kardus dengan pena sesuai ukuran gulungan kertas agar lebih rapi dan tidak berubah posisi (jika diperlukan)', 'Olesi seluruh permukaan kardus dengan lem kecuali bagian bawah', 'Tempelkan gulungan kertas koran satu-persatu pada permukaan kardus hingga seluruh permukaan tertutupi (bisa secara vertikal, horizontal, lurus maupun miring, bisa diselang-seling juga sesuai keinginan).']",kertas,https://www.kompasiana.com/wisnuarif2698/5d7f7836097f367d68203a33/cara-membuat-tempat-tisu-dari-koran-bekas,"['Figura Dari Koran Bekas', 'Keranjang dari Kertas Koran Bekas', 'Membuat Mangkok dari Koran Bekas', 'Mangkok Dari Koran Bekas', 'Tempat Tisu Sederhana Dari Koran Bekas']"
Tempat Tisu Sederhana Dari Koran Bekas,tempat_tisu_sederhana_dari_koran_bekas.jpg,Mfadib.com,"['Koran bekas', 'Kotak sepatu', 'Penggaris', 'Double tip', 'Gunting atau cutter']","['Siapkan bahan dan alat yang diperlukan.', 'Buat gulungan koran dengan ukuran 15 cm x 15 cm.', 'Rekatkan ujung gulungan koran dengan menggunakan lem atau double tip.', 'Ukur tinggi kotak sepatu dan sesuaikan ukuran gulungan koran.', 'Tempelkan gulungan koran pada kotak sepatu secara merata.', 'Ukur lubang tempat tisu pada kotak sepatu dan buat lingkaran pada tutup kotak sepatu.', 'Masukkan tisu ke dalam tempat tisu yang telah dibuat.']",kertas,https://www.bangizaltoy.com/2021/01/cara-membuat-tempat-tisu-dari-koran.html,"['Membuat Tempat Tisu dari Koran Bekas', 'Kerajinan dari Koran Jadi Kertas Daur Ulang', 'Vas Bunga Sederhana Dari Koran Bekas', 'Pita Dari Koran', 'Kotak Tisu']"
Alas Cangkir Dari Koran,alas_cangkir_dari_koran.jpg,www.instructables.com,"['Koran', 'Lem', 'Lidi 1 buah', 'Gunting']","['Gunting koran panjang-panjang', 'Buatlah beberapa gulungan koran menggunakan lidi dan rekatkan bagian ujungnya dengan lem', 'Sambungkan ujung gulungan koran yang satu dengan lainnya lalu bentuklah sesuai keinginan']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Membuat Mangkok dari Koran Bekas', 'Mangkok Dari Koran Bekas', 'Figura Dari Koran Bekas', 'Kerajinan dari Koran Jadi Kertas Daur Ulang', 'Keranjang dari Kertas Koran Bekas']"
Buket Bunga Dari Koran,buket_bunga_dari_koran.jpg,thespruce.com,"['Koran', 'Lem', 'Gunting', 'Kawat', 'Pita']","['Gunting koran bekas membentuk kelopak bunga menjadi beberapa kelopak', 'Lapisi luar kawat dengan koran', 'Tempelkan potongan kelopak bunga mengelilingi bagian ujung kawat hingga membentuk bunga yang mekar', 'Lakukan langkah di atas berulang-ulang', 'Satukan tangkai-tangkai bunga tadi dan balutlah dengan pita hingga bagian kawat tertutup']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Bunga Dari Koran Bekas', 'Vas Bunga Sederhana Dari Koran Bekas', 'Kerajinan Bunga dari Kertas Koran', 'Vas Bunga Dari Koran Bekas', 'Pita Dari Koran']"
Bunga Dari Koran Bekas,bunga_dari_koran_bekas.jpg,pinterest.com,"['Koran', 'Lem', 'Gunting', 'Kawat']","['gunting koran bekas membentuk kelopak bunga menjadi beberapa kelopak', 'lapisi luar kawat dengan koran', 'Tempelkan potongan kelopak bunga mengelilingi bagian ujung kawat hingga membentuk bunga yang mekar', 'Lakukan langkah di atas berulang-ulang']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Vas Bunga Dari Koran Bekas', 'Kerajinan Bunga dari Kertas Koran', 'Buket Bunga Dari Koran', 'Kalungan Bunga Dari Koran Bekas', 'Keranjang dari Kertas Koran Bekas']"
Celengan Dari Koran Bekas,celengan_dari_koran_bekas.jpg,agussugiyono.files.wordpress.com,"['koran', 'tepung kanji', 'garam', 'air', 'cat', 'baskom']","['Potong kecil-kecil koran bekas dan masukkan ke dalam baskom lalu tuang air hangat ke dalamnya', 'campurkan 1 sendok garam agar koran tidak berbau busuk', 'tunggu 1 – 2 hari hingga koran benar-benar hancur', 'setelah koran benar-benar hancur, tiriskan hingga airnya terpisah dengan ampas koran lalu buatlah adonan tepung kanji yang dicampur air panas sampai mengental', 'aduk adonan hingga seluruhnya tercampur rata', 'siapkan cetakan untuk dilapisi dengan bubur koran', 'jangan lupa membuat lubang sebagai tempat masuk uang', 'angin-anginkan hingga kering', 'setelah kering dan tidak basah lapisi dengan cat agar warnanya menjadi lebih cantik']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Figura Dari Koran Bekas', 'Keranjang dari Kertas Koran Bekas', 'Membuat Mangkok dari Koran Bekas', 'Mangkok Dari Koran Bekas', 'Toples Permen Dari Koran Bekas']"
Figura Dari Koran Bekas,figura_dari_koran_bekas.jpg,dekoruma.com,"['koran', 'kardus', 'lidi', 'lem', 'gunting']","['potonglah kardus dengan panjang 10 X 15 cm menjadi 2 potong', 'potong bagian tengah salah satu potongan kardus tadi sebagai tempat menaruh foto', 'buatlah gulungan koran bekas menggunakan lidi menjadi beberapa gulung', 'gulung menjadi bentuk lingkaran dalam beberapa ukuran', 'tempelkan gulungan koran ke bagian tepi kardus yang sudah dilubangi bagian tengahnya', 'tempelkan sisi samping dan bawah dari potongan kardus yang masih utuh dengan potongan kardus yang sudah dihias', 'buatlah penyangga figura dan masukkan foto melalui sisi bagian atas']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Keranjang dari Kertas Koran Bekas', 'Membuat Tempat Tisu dari Koran Bekas', 'Membuat Mangkok dari Koran Bekas', 'Mangkok Dari Koran Bekas', 'Topi Dari Koran Bekas']"
Kalungan Bunga Dari Koran Bekas,kalungan_bunga_dari_koran_bekas.jpg,custommade.com,"['Koran bekas', 'Gunting', 'Lem', 'Kawat', 'Manik-manik']","['Gunting lah koran membentuk kelopak bunga', 'Rakit kelopak tersebut hingga membentuk beberapa buah bunga mekar (tambahkan manik-manik)', 'Lapisi kawat dengan koran sampai beberapa lapis kemudian bentuklah kawat melingkar seperti dalam gambar', 'Tempelkan bunga tadi ke kawat yang sudah dibentuk lingkaran']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Vas Bunga Dari Koran Bekas', 'Bunga Dari Koran Bekas', 'Keranjang dari Kertas Koran Bekas', 'Vas Bunga Sederhana Dari Koran Bekas', 'Toples Permen Dari Koran Bekas']"
Kap Lampu Gantung Koran Bekas,kap_lampu_gantung_koran_bekas.jpg,m2fabelio.imgix.net,"['Koran bekas', 'Lem', 'Gunting', 'Bola plastik']","['Siapkan bola plastik dan lubangi bagian atas sebagai jalan kabel', 'Gunting koran membentuk lingkaran', 'Tempelkan potongan koran hingga bola plastik tertutup semua', 'Biarkan kering dan kap lampu gantung dari koran siap mempercantik rumah Anda']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Jam Dinding Koran Bekas', 'Keranjang dari Kertas Koran Bekas', 'Membuat Tempat Tisu dari Koran Bekas', 'Figura Dari Koran Bekas', 'Vas Bunga Dari Koran Bekas']"
Lampion Koran,lampion_koran.jpg,hipwee.com,"['Koran bekas', 'Gunting', 'Lem', 'Kertas krep']","['Tempelkan kertas krep hingga lampion tertutup semua', 'Gunting koran kecil-kecil dan tempelkan pada kertas krep hingga seluruhnya tertutupi potongan koran', 'Biarkan kering dan lampion dari koran akan menghiasi rumah Anda']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Lentera Dari Kaleng', 'Kerajinan dari Koran Jadi Tempat Pensil', 'Kerajinan Bunga dari Kertas Koran', 'Kap Lampu Gantung Koran Bekas', 'Lampion Botol Kaca']"
Lukisan Unik Koran,lukisan_unik_koran.jpg,www.etsy.com,"['Koran bekas', 'Pensil', 'Cat warna hitam']","['Buatlah sebuah gambar di atas koran', 'Warnai gambar tersebut dengan cat hitam', 'Beri bingkai pada koran tersebut, maka lukisan ala siluet akan menghiasi rumah Anda']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Kerajinan dari Koran Jadi Tempat Pensil', 'Topi Dari Koran Bekas', 'Figura Dari Koran Bekas', 'Kerajinan dari Koran Jadi Kertas Daur Ulang', 'Buket Bunga Dari Koran']"
Mangkok Dari Koran Bekas,mangkok_dari_koran_bekas.jpg,kurio.network,"['Koran bekas', 'Lidi', 'Lem', 'Gunting', 'Mangkok (sebagai cetakan)']","['Buatlah beberapa gulungan koran menggunakan lidi', 'Setelah jadi gulungan koran tadi dibentuk menjadi lingkaran besar (digunakan sebagai alas)', 'Buat lagi bentuk lingkaran yang lebih kecil (digunakan sebagai bagian samping mangkok)', 'Cetak menggunakan mangkok yang sudah Anda siapkan dan keringkan']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Mangkok Dari Koran Bekas', 'Topi Dari Koran Bekas', 'Keranjang dari Kertas Koran Bekas', 'Bunga Dari Koran Bekas', 'Figura Dari Koran Bekas']"
Miniatur Kapal Layar,miniatur_kapal_layar.jpg,adahobi.com,"['Koran bekas', 'Karton', 'Lem', 'Gunting', 'Kawat', 'Senar']","['Buatlah gulungan koran menjadi beberapa gulung', 'Siapkan kawat dan buatlah rancangan kapal layar', 'potong kawat dengan panjang sesuai keinginan Anda (digunakan untuk membuat kerangka kapal)', 'buatlah kerangka kapal layar menggunakan kawat', 'kemudian rekatkan gulungan koran tadi ke kerangka kapal yang sudah jadi', 'Pada bagian tiang layar gulung kawat di dalam koran', 'gunakan senar untuk membuat bagian layar terlihat mengembang', 'angin-anginkan agar kering', 'Anda juga bisa memberi cat warna pada miniatur kapal layar Anda']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Miniatur Rumah', 'Kerajinan Miniatur Kebun dari Kulit Telur', 'Miniatur Rumah dari Kardus Bekas', 'Kerajinan Kaligrafi dari Kulit Telur', 'Kerajinan Koran Bekas Jadi Tong Sampah']"
Miniatur Rumah,miniatur_rumah.jpg,www.youtube.com,"['Koran bekas', 'Karton', 'Lem', 'Gunting']","['Gambarlah rancangan bentuk rumah yang akan Anda buat', 'Buatlah beberapa gulungan koran menggunakan lidi', 'Potong gulungan koran sesuai gambar rancangan rumah Anda', 'Siapkan karton sebagai alas dan bagian atap rumah', 'Kemudian tempelkan potongan gulungan koran ke karton yang digunakan untuk atap', 'Buatlah kerangka rumah dari tiang, dinding, lalu atap', 'Jangan lupa untuk memberikan teras rumah. Anda juga dapat mengkreasikan rancangan miniatur rumah Anda']",kertas,https://www.selasar.com/kerajinan-dari-koran/,"['Miniatur Rumah dari Kardus Bekas', 'Kerajinan Miniatur Kebun dari Kulit Telur', 'Miniatur Kapal Layar', 'Kerajinan Boneka dari Kulit Telur', 'Tempat Tidur Boneka']"
